Gmt time,Open,High,Low,Close,Volume
01.01.2017 21:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 22:00:00.000,1.05236,1.05253,1.05221,1.05227,143.54
01.01.2017 23:00:00.000,1.05227,1.05426,1.05226,1.05282,253.14
02.01.2017 00:00:00.000,1.05283,1.05283,1.05268,1.05281,131.4
02.01.2017 01:00:00.000,1.05282,1.05286,1.05225,1.05240,273.94
02.01.2017 02:00:00.000,1.05239,1.05240,1.05164,1.05220,258.14
02.01.2017 03:00:00.000,1.05219,1.05244,1.05184,1.05226,2288.1799
02.01.2017 04:00:00.000,1.05226,1.05232,1.05181,1.05193,711.8
02.01.2017 05:00:00.000,1.05195,1.05197,1.05136,1.05161,288.21
02.01.2017 06:00:00.000,1.05163,1.05176,1.05113,1.05172,390.88
02.01.2017 07:00:00.000,1.05171,1.05243,1.05129,1.05162,3070.0701
02.01.2017 08:00:00.000,1.05159,1.05188,1.04878,1.04899,6903.9502
02.01.2017 09:00:00.000,1.04899,1.04932,1.04779,1.04877,6126.96
02.01.2017 10:00:00.000,1.04879,1.04899,1.04786,1.04815,6102.1201
02.01.2017 11:00:00.000,1.04815,1.04818,1.04774,1.04790,2092.53
02.01.2017 12:00:00.000,1.04792,1.04792,1.04653,1.04663,3961.3501
02.01.2017 13:00:00.000,1.04662,1.04697,1.04617,1.04666,5302.0698
02.01.2017 14:00:00.000,1.04672,1.04763,1.04653,1.04738,6837.75
02.01.2017 15:00:00.000,1.04738,1.04745,1.04647,1.04725,8565.1904
02.01.2017 16:00:00.000,1.04726,1.04800,1.04691,1.04705,1806.41
02.01.2017 17:00:00.000,1.04705,1.04705,1.04627,1.04668,1172.01
02.01.2017 18:00:00.000,1.04667,1.04678,1.04610,1.04619,3437.74
02.01.2017 19:00:00.000,1.04620,1.04652,1.04604,1.04610,3121.25
02.01.2017 20:00:00.000,1.04610,1.04620,1.04575,1.04610,5411.5801
02.01.2017 21:00:00.000,1.04609,1.04609,1.04505,1.04552,9344.9502
02.01.2017 22:00:00.000,1.04556,1.04739,1.04555,1.04637,1460.35
02.01.2017 23:00:00.000,1.04641,1.04722,1.04566,1.04579,9331.0195
03.01.2017 00:00:00.000,1.04578,1.04714,1.04574,1.04665,3570.3101
03.01.2017 01:00:00.000,1.04664,1.04810,1.04647,1.04760,4245.8398
03.01.2017 02:00:00.000,1.04760,1.04784,1.04709,1.04722,3148.0701
03.01.2017 03:00:00.000,1.04723,1.04850,1.04714,1.04850,3512.3899
03.01.2017 04:00:00.000,1.04850,1.04900,1.04819,1.04886,2461.6399
03.01.2017 05:00:00.000,1.04884,1.04903,1.04817,1.04823,2709.23
03.01.2017 06:00:00.000,1.04823,1.04894,1.04814,1.04883,3156.02
03.01.2017 07:00:00.000,1.04884,1.04889,1.04537,1.04604,11100.3398
03.01.2017 08:00:00.000,1.04609,1.04659,1.04206,1.04353,16184.75
03.01.2017 09:00:00.000,1.04354,1.04364,1.04004,1.04018,16074.7002
03.01.2017 10:00:00.000,1.04016,1.04167,1.03961,1.03967,11816.0303
03.01.2017 11:00:00.000,1.03966,1.03998,1.03814,1.03942,12984.0098
03.01.2017 12:00:00.000,1.03942,1.03945,1.03752,1.03893,13954.3301
03.01.2017 13:00:00.000,1.03894,1.03920,1.03820,1.03917,12018.9902
03.01.2017 14:00:00.000,1.03917,1.04082,1.03850,1.03897,14061.96
03.01.2017 15:00:00.000,1.03892,1.03905,1.03405,1.03846,25460.0605
03.01.2017 16:00:00.000,1.03848,1.04339,1.03787,1.04154,22960.3496
03.01.2017 17:00:00.000,1.04152,1.04285,1.04101,1.04272,9072.9102
